id,headline,link,tag,cleandate,type,publishedin,usingdate,publishednew,pbnew
1,A Note About Our Coverage Of Donald Trump's 'Campaign',http://www.huffingtonpost.com/2015/07/17/a-note-about-our-coverage-of-donald-trumps-campaign_n_7817808.html?utm_hp_ref=donald-trump,Donald Trump,7/17/15,Trump,Huffpost Politics,7/17/15,Huffpost Politics,Huffpost Politics/Pollster
2,HUFFPOLLSTER: 2014 Marked A New Low In Voter Turnout,http://www.huffingtonpost.com/2015/07/17/low-voter-turnout-in-2014_n_7817052.html?utm_hp_ref=donald-trump,Donald Trump,7/17/15,Trump,Huffpost Pollster,7/17/15,Huffpost Pollster,Huffpost Politics/Pollster
3,The Republican Party Is in Shambles | Walker Bragman,http://www.huffingtonpost.com/walker-bragman/how-obama-is-killing-the-_b_7816664.html?utm_hp_ref=donald-trump,Donald Trump,7/17/15,Trump,Huffpost Politics,7/17/15,Huffpost Politics,Huffpost Politics/Pollster
4,Donald Trump 'Has Never Been A Fan' Of The Huffington Post,http://www.huffingtonpost.com/2015/07/17/donald-trump-huffington-post_n_7821812.html?utm_hp_ref=donald-trump,Donald Trump,7/17/15,Trump,Huffpost Entertainment,7/17/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
5,Donald Trump Is Biff Tannen From 'Back To The Future',http://www.huffingtonpost.com/2015/07/17/donald-trump-is-biff-tannen_n_7821266.html?utm_hp_ref=donald-trump,Donald Trump,7/17/15,Trump,Huffpost Entertainment,7/17/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
6,Donald Trump Says He'll Spend 'What It Takes' To Win,http://www.huffingtonpost.com/2015/07/17/donald-trump-2016-campaign-funding_n_7815264.html?utm_hp_ref=donald-trump,Donald Trump,7/17/15,Trump,Huffpost Entertainment,7/17/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
7,Presidential Race or Reality Show? | Chaker Khazaal,http://www.huffingtonpost.com/chaker-khazaal/presidential-race-or-real_b_7815340.html?utm_hp_ref=donald-trump,Donald Trump,7/17/15,Trump,Huffpost Entertainment,7/17/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
8,America: If these Republicans became POTUS | Alex Law,http://www.huffingtonpost.com/alex-law/america-if-these-republic_b_7820488.html?utm_hp_ref=donald-trump,Donald Trump,7/17/15,Trump,Huffpost Comedy,7/17/15,Huffpost Comedy,Huffpost Entertainment/Comedy
9,Meghan McCain: I'm 'Glad' My Brother Returning From Afghanistan Has To Listen To Donald Trump,http://www.huffingtonpost.com/2015/07/18/meghan-mccain-donald-trump_n_7825114.html?utm_hp_ref=donald-trump,Donald Trump,7/18/15,Trump,Huffpost Politics,7/18/15,Huffpost Politics,Huffpost Politics/Pollster
10,Trump Finally Performs A Public Service (And Poses A Hard Question for Republicans) | William Bradley,http://www.huffingtonpost.com/william-bradley/trump-finally-performs-a_b_7826240.html?utm_hp_ref=donald-trump,Donald Trump,7/18/15,Trump,Huffpost Media,7/18/15,Huffpost Media,Huffpost Media
11,Here's How Donald Trump Defended Questioning John McCain's Military Record,http://www.huffingtonpost.com/2015/07/18/donald-trump-john-mccain_n_7825724.html?utm_hp_ref=donald-trump,Donald Trump,7/18/15,Trump,Huffpost Entertainment,7/18/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
12,Donald Trump On John McCain's War Record: 'I Like People Who Weren't Captured',http://www.huffingtonpost.com/2015/07/18/donald-trump-john-mccain_n_7824618.html?utm_hp_ref=donald-trump,Donald Trump,7/18/15,Trump,Huffpost Entertainment,7/18/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
13,Republicans Finally Come Down On Donald Trump,http://www.huffingtonpost.com/2015/07/18/gop-donald-trump_n_7825592.html?utm_hp_ref=donald-trump,Donald Trump,7/18/15,Trump,Huffpost Entertainment,7/18/15,Huffpost Entertainment,Huffpost Entertainment/Comedy
14,Lindsey Graham Defends John McCain: 'Being Captured Doesn't Mean You're A Loser',http://www.huffingtonpost.com/2015/07/19/lindsey-graham-mccain-trump_n_7827674.html?utm_hp_ref=donald-trump,Donald Trump,7/19/15,Trump,Huffpost Politics,7/19/15,Huffpost Politics,Huffpost Politics/Pollster
15,Flasher | Jonathan Richards,http://www.huffingtonpost.com/jonathan-richards/flasher_b_7828688.html?utm_hp_ref=donald-trump,Donald Trump,7/19/15,Trump,Huffpost Politics,7/19/15,Huffpost Politics,Huffpost Politics/Pollster
